"det_Name","det_Team","Age","G","AB","PA","wRC+","playerid"
"Greg Garcia","Padres","29","134","311","372","97","10951"
"Miguel Cabrera","Tigers","36","136","493","549","96","1744"
"Hanser Alberto","Orioles","26","139","524","550","96","11902"
"Amed Rosario","Mets","23","157","616","655","100","15518"
"Ender Inciarte","Braves","28","65","199","230","93","4922"
"Jay Bruce","- - -","32","98","310","333","98","9892"
"David Fletcher","Angels","25","154","596","653","99","17992"
"Tim Lopes","Mariners","25","41","111","128","101","14137"
"Dansby Swanson","Braves","25","127","483","545","92","18314"
"Francisco Mejia","Padres","23","79","226","244","96","16403"
"Victor Robles","Nationals","22","155","546","617","91","18363"
"Wil Myers","Padres","28","155","435","490","96","10047"
"Josh VanMeter","Reds","24","95","228","260","91","15170"
"Pedro Severino","Orioles","25","96","305","341","94","14523"
"Trent Grisham","Brewers","22","51","156","183","92","18564"
"Curt Casali","Reds","30","84","207","236","90","12510"
"Niko Goodrum","Tigers","27","112","423","472","94","12092"
"Cesar Hernandez","Phillies","29","161","612","667","92","10556"
"Colin Moran","Pirates","26","149","466","503","94","16909"
"Jean Segura","Phillies","29","144","576","618","92","5933"
"Austin Romine","Yankees","30","73","228","240","95","5491"
"Nick Senzel","Reds","24","104","375","414","90","19293"
"Tim Beckham","Mariners","29","88","304","328","99","7949"
"Matt Carpenter","Cardinals","33","129","416","492","95","8090"
"Nick Ahmed","Diamondbacks","29","158","556","625","92","12147"
"Jordy Mercer","Tigers","32","74","256","271","94","6547"
"Travis d'Arnaud","- - -","30","103","351","391","98","7739"
"Tim Locastro","Diamondbacks","26","91","212","250","91","15124"
"Jackie Bradley Jr.","Red Sox","29","147","494","567","90","12984"
"Ryan Zimmerman","Nationals","34","52","171","190","89","4220"
"Marwin Gonzalez","Twins","30","114","425","463","93","5497"
"Willy Adames","Rays","23","152","531","584","97","15986"
"Mauricio Dubon","- - -","24","30","106","111","95","16530"
"Jorge Alfaro","Marlins","26","130","431","465","95","12180"
"Adeiny Hechavarria","- - -","30","84","203","221","93","10459"
"JaCoby Jones","Tigers","27","88","298","333","92","14818"
"Brian McCann","Braves","35","85","277","316","89","4810"
"Tyler Flowers","Braves","33","85","271","310","88","9134"
"Eric Hosmer","Padres","29","160","619","667","91","3516"
"Adam Haseley","Phillies","23","67","222","242","88","19878"
"Albert Pujols","Angels","39","131","491","545","93","1177"
"Harold Ramirez","Marlins","24","119","421","446","92","14387"
"Adam Jones","Diamondbacks","33","137","485","528","87","6368"
"Ben Gamel","Brewers","27","134","311","356","87","12160"
"Rowdy Tellez","Blue Jays","24","111","370","409","91","15679"
"Robinson Cano","Mets","36","107","390","423","93","3269"
"Tyler O'Neill","Cardinals","24","60","141","151","91","15711"
"Manny Pina","Brewers","32","76","158","179","87","2829"
"Josh Reddick","Astros","32","141","501","550","94","3892"
"Ryon Healy","Mariners","27","47","169","187","94","15447"
"Freddy Galvis","- - -","29","147","557","589","89","6609"
"Jesus Aguilar","- - -","29","131","314","369","88","11342"
"Justin Upton","Angels","31","63","219","256","92","5222"
"Austin Riley","Braves","22","80","274","297","86","18360"
"Raimel Tapia","Rockies","25","138","426","447","73","14350"
"Randal Grichuk","Blue Jays","27","151","586","628","90","10243"
"Starlin Castro","Marlins","29","162","636","676","91","4579"
"Matt Adams","Nationals","30","111","310","333","84","9393"
"Stephen Piscotty","Athletics","28","93","357","393","93","13367"
"Josh Naylor","Padres","22","94","253","279","89","18839"
"Jose Iglesias","Reds","29","146","504","530","84","10231"
"Ronald Guzman","Rangers","24","87","256","295","80","14388"
"Charlie Culberson","Braves","30","108","135","144","85","3298"
"Kevan Smith","Angels","31","67","191","211","91","12284"
"Gregory Polanco","Pirates","27","42","153","167","87","12907"
"Miguel Rojas","Marlins","30","132","483","526","90","7802"
"Tyler Wade","Yankees","24","43","94","108","88","15730"
"Brandon Dixon","Tigers","27","118","391","420","86","15214"
"Chris Iannetta","Rockies","36","52","144","164","70","8267"
"Matt Thaiss","Angels","24","53","147","164","89","19318"
